Keyword,Clicks,Searches,CTR,Position,"Avg. CPC","Max. CPC",Competition
"iphone 14 pro max",8113,658157,1.2,7.5,,,0
celulares,3731,231537,1.6,4.3,13.46,77.09,1.00
"iphone 11",2250,734832,0.3,10.3,7.40,14.97,0.73
"iphone 14",2189,398000,0.5,9.1,16.43,53.45,0.96
"iphone 13",2139,603807,0.4,10.7,5.17,39.50,0.72
"iphone 13 pro max",2128,488100,0.4,11.0,6.56,28.01,0.93
"celulares en oferta",1838,61251,3.0,2.6,3.04,4.72,1.00
"celulares samsung",1753,120604,1.5,4.2,15.44,53.78,0.01
iphone,1517,112768,1.3,7.3,10.96,41.71,0.98
"iphone 12 pro max",1234,273421,0.5,9.6,1.88,4.78,0.89
"cargador iphone",1224,119636,1.0,5.5,,,0
"celulares baratos",900,60300,1.5,4.8,16.25,71.23,1.00
"iphone 14 pro",836,178964,0.5,7.9,,,0
"colaborapp iphone",812,1306,62.2,1.0,2.12,2.12,0.08
"iphone 12",793,172946,0.5,8.6,5.38,17.35,0.58
celular,791,130266,0.6,4.2,3.34,4.66,0
"celular samsung",726,81882,0.9,4.5,25.04,57.86,1.00
"iphone 14 pro max precio",684,37318,1.8,2.4,,,0
"iphone reacondicionado",668,38192,1.7,8.6,,,0
"iphone 13 rosa",648,39047,1.7,5.0,3.36,3.36,0.42
"celulares reacondicionados",634,8966,7.1,3.9,5.18,7.15,0.99
"cargador iphone original",498,25842,1.9,5.2,2.47,2.47,1.00
"descargar colaborapp para iphone",481,771,62.4,1.0,,,0
"celular vivo",480,19744,2.4,1.9,1.79,1.79,1.00
"iphone 13 reacondicionado",454,39029,1.2,4.6,,,0
"celulares motorola",387,27266,1.4,4.9,2.72,2.72,0.98
"celular motorola",383,35942,1.1,4.4,,,0
"celulares motorola precios y modelos",370,8986,4.1,1.7,1.74,1.97,1.00
"celular oppo",367,53579,0.7,5.4,0.84,0.84,0
"iphone 8 plus",353,67426,0.5,8.6,21.18,45.68,0
"iphone 13 precio",327,52416,0.6,9.9,11.46,38.82,0.93
"iphone 8 plus precio",327,17135,1.9,2.3,2.37,3.01,1.00
"descargar colaborapp iphone",318,520,61.2,1.0,,,0
