Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,coppel.com,liverpool.com.mx,chedraui.com.mx,bodegaaurrera.com.mx,walmart.com.mx,coppel.com (pages),liverpool.com.mx (pages),chedraui.com.mx (pages),bodegaaurrera.com.mx (pages),walmart.com.mx (pages),Results
iphone 15,"Informational, Transactional",1000000,54,0.07,1.00,35,5,0,0,19,https://www.coppel.com/funda-mybat-clutch-cartera-negra-colgante-para-iphone-15-pro-max-mkp-439018369n2263,https://www.liverpool.com.mx/tienda/?s=iphone%2015,,,https://www.walmart.com.mx/ip/smartphones/smartphone-apple-iphone-15-128gb-black-modelo-a3092/00019594917098,7060000000
iphone,Informational,673000,56,0.19,1.00,10,4,0,20,16,https://www.coppel.com/celulares-apple,https://www.liverpool.com.mx/tienda/iphone/catst27033795,,https://www.bodegaaurrera.com.mx/browse/lp-celulares/marcas/iphone/320061_320132_320144,https://www.walmart.com.mx/browse/lp-celulares/marcas/iphone/320061_320132_320144,13800000000
iphone 11,Informational,550000,42,0.05,1.00,8,6,0,30,37,https://www.coppel.com/telcel-apple-iphone-11-64-gb-black-pm-2332993,https://www.liverpool.com.mx/tienda/?s=iphone%2011,,https://www.bodegaaurrera.com.mx/ip/smartphones/iphone-11-64-4-verde-apple-iphone-11-64-gb-verde/00068951837227,https://super.walmart.com.mx/ip/iphone-11-apple-64-gb-negro-telcel/00750622733527,6410000000
iphone 12,Informational,550000,44,0.05,1.00,10,5,0,0,13,https://www.coppel.com/iphone-12,https://www.liverpool.com.mx/tienda?s=iphone%2012,,,https://www.walmart.com.mx/search?q=iphone+12&z=1,7120000000
iphone 14,"Informational, Transactional",550000,42,0.06,1.00,7,5,0,0,58,https://www.coppel.com/l/iphone-14,https://www.liverpool.com.mx/tienda/?s=iphone%2014,,,https://www.walmart.com.mx/ip/smartphones/apple-iphone-14-128-gb-morado-apple-/00019425340862,8030000000
iphone 13 pro max,Informational,368000,41,0.06,1.00,7,3,0,13,10,https://www.coppel.com/celular-apple-iphone-13-pro-max-128gb-color-sierra-blue-reacondicionado-mkp-10422609,https://www.liverpool.com.mx/tienda/?s=iphone%2013,,https://www.bodegaaurrera.com.mx/ip/smartphones/iphone-13-pro-max-apple-128gb-gris-reacondicionado/00085369895470,https://www.walmart.com.mx/ip/smartphones/iphone-13-pro-max-apple-128-gb-azul-reacondicionado/00085369895473,1750000000
iphone 15 pro max,Informational,368000,36,0.09,1.00,42,12,0,41,28,https://www.coppel.com/telcel-iphone-15-pro-max-256-gb-titanio-azul-pm-2247593,https://www.liverpool.com.mx/tienda?s=iphone+15,,https://www.bodegaaurrera.com.mx/ip/smartphones/apple-iphone-15-pro-max-256-gb-titanio-natural/00019594904861,https://www.walmart.com.mx/search?q=iphone+15+pro+max&z=1,1750000000
celular,"Commercial, Informational",246000,64,0.06,1.00,4,2,18,9,3,https://www.coppel.com/celulares,https://www.liverpool.com.mx/tienda/celulares/cat5150024,https://www.chedraui.com.mx/tecnologia/celulares-telefonia-y-wearables/celulares-y-smartphones,https://www.bodegaaurrera.com.mx/content/celulares/264800,https://www.walmart.com.mx/content/celulares/264800,3750000000
iphone 14 pro max,Informational,246000,34,0.08,1.00,4,3,0,0,15,https://www.coppel.com/l/iphone-14-pro-max,https://www.liverpool.com.mx/tienda/pdp/apple-iphone-14-pro-max-amoled-6.7-pulgadas-desbloqueado-reacondicionado/99967177363,,,https://super.walmart.com.mx/ip/iphone-14-pro-max-apple-oro-128gb-telcel/00750622734866,2130000000
iphone 12 pro max,"Informational, Transactional",201000,40,0.06,1.00,5,2,0,15,10,https://www.coppel.com/iphone-12-pro-max-telcel,https://www.liverpool.com.mx/tienda/?s=iphone%2012%20pro%20max//,,https://www.bodegaaurrera.com.mx/ip/smartphones/smartphone-apple-iphone-12-pro-max-256gb/00019425201989,https://www.walmart.com.mx/search?q=iphone+12+pro+max&z=1,3310000000
